date,open,high,low,close,volume,split,dividend,absoluteChange,percentChange
10/13/2016 0:00,634.5,636,630,634.02,2381.5,,,,
10/14/2016 0:00,635.16,639.99,630.45,638.2,3154.82,,,,
10/15/2016 0:00,638.2,642,635.25,635.96,1421.85,,,,
10/16/2016 0:00,635.26,641.4,635.18,638.97,1289.54,,,,
10/17/2016 0:00,638.97,639.99,632.1,636.91,3958.04,,,,
10/18/2016 0:00,636.96,637.8,631.52,635.95,2731.18,,,,
10/19/2016 0:00,635.95,638.04,624.13,627.98,4472.9,,,,
10/20/2016 0:00,627.84,630.22,625,628.89,2040.01,,,,
10/21/2016 0:00,628.05,632.36,627.5,629,3050.51,,,,
10/22/2016 0:00,628.99,656,628.57,654.52,4351.62,,,,
10/23/2016 0:00,654.52,656,647.51,648.74,2535.01,,,,
10/24/2016 0:00,648.71,652.25,640,648.6,4679,,,,
10/25/2016 0:00,649.03,657.58,643,651.97,6106.92,,,,
10/26/2016 0:00,651.97,677,651.69,675.11,6716.23,,,,
10/27/2016 0:00,674.63,685.89,665.59,684.71,4545.44,,,,
10/28/2016 0:00,684.68,687.23,677.05,685.91,3574.08,,,,
10/29/2016 0:00,685.91,717.99,684.89,711.13,4034.88,,,,
10/30/2016 0:00,711.1,711.78,691.49,697.23,3752.53,,,,
10/31/2016 0:00,697.1,706.97,683.6,697.01,4655.89,,,,
11/1/2016 0:00,697.04,737,695.38,726.6,6570.02,,,,
11/2/2016 0:00,726.6,742,717.32,742,4320.53,,,,
11/3/2016 0:00,742,745.19,670.32,685.22,12102.24,,,,
11/4/2016 0:00,684.84,707.67,681,702.7,5345.68,,,,
11/5/2016 0:00,702.95,707.34,694.71,703.46,1918.31,,,,
11/6/2016 0:00,703.33,714.36,697.92,709.93,2292.86,,,,
11/7/2016 0:00,709.92,709.92,698.26,702.86,3020.87,,,,
11/8/2016 0:00,702.86,712.92,701.02,709.31,5526.47,,,,
11/9/2016 0:00,708.17,740.86,705.45,721.5,9726.25,,,,
11/10/2016 0:00,721.5,722,707,714.47,4996.45,,,,
11/11/2016 0:00,714.48,720.94,712.24,716.39,3328.33,,,,
11/12/2016 0:00,716.39,716.39,701,702.28,2811.55,,,,
11/13/2016 0:00,701.17,702.89,683.23,700.38,6023.55,,,,
11/14/2016 0:00,700.38,705.89,697.14,703.82,7566.58,,,,
11/15/2016 0:00,704.98,716.54,703.05,711.06,5668.94,,,,
11/16/2016 0:00,711.07,742.87,708.44,739.71,11585.05,,,,
11/17/2016 0:00,739.71,749.98,732.22,735.24,6681.43,,,,
11/18/2016 0:00,736,752.95,731.31,748.98,4271.04,,,,
11/19/2016 0:00,748.98,755.07,742.63,750.75,1965.44,,,,
11/20/2016 0:00,750.09,753.82,714,727.09,5525.96,,,,
11/21/2016 0:00,727.09,739.2,727.03,736.76,4017.58,,,,
11/22/2016 0:00,736.92,750,730.27,749.22,5034.7,,,,
11/23/2016 0:00,749.13,749.98,729.92,740.18,4462.78,,,,
11/24/2016 0:00,740.18,741.15,729,735.63,4039.82,,,,
11/25/2016 0:00,735.63,737.07,728,737.07,3356.09,,,,
11/26/2016 0:00,736.96,737.56,722.3,729.91,2314.58,,,,
11/27/2016 0:00,729.91,732,722.44,727.32,3447.87,,,,
11/28/2016 0:00,727.32,732.44,724.1,729.54,4741.12,,,,
11/29/2016 0:00,730.99,733.29,721,730.76,5406.9,,,,
11/30/2016 0:00,730.72,744.49,727,742.06,6249.62,,,,
12/1/2016 0:00,742.06,754.98,740.18,751.54,6124.5,,,,
12/2/2016 0:00,751.55,778.07,750.77,769.99,8098.58,,,,
12/3/2016 0:00,770.91,770.99,752.41,760.75,2772.66,,,,
12/4/2016 0:00,762.97,762.97,752.41,762,3215.68,,,,
12/5/2016 0:00,762,762.09,743,750.24,5567.77,,,,
12/6/2016 0:00,749.51,759.9,747.99,758.98,6763.74,,,,
12/7/2016 0:00,758.97,769.61,751.78,763.99,4809.71,,,,
12/8/2016 0:00,764.05,772.01,762.29,766.84,4892.94,,,,
12/9/2016 0:00,766.84,773.99,766.29,769.57,2868.42,,,,
12/10/2016 0:00,769.57,774.12,768.11,772.28,2200.71,,,,
12/11/2016 0:00,772.28,772.28,764.01,768.97,1421.13,,,,
12/12/2016 0:00,768.97,779,768.96,776.9,2805.19,,,,
12/13/2016 0:00,777,793.27,765.1,775.35,4918.81,,,,
12/14/2016 0:00,775.75,781,770.74,777.09,2333.38,,,,
12/15/2016 0:00,777.03,779.08,771,775.89,3039.82,,,,
12/16/2016 0:00,776.3,782.46,771.24,781.32,3475.77,,,,
12/17/2016 0:00,781.32,790.88,780.36,788.52,2389.76,,,,
12/18/2016 0:00,788.3,790.99,780,788.67,2519.24,,,,
12/19/2016 0:00,788.34,794.39,787.01,791,3917.87,,,,
12/20/2016 0:00,791.03,803,787.1,798.65,4118.69,,,,
12/21/2016 0:00,798.83,834.97,796.82,832.75,9391.36,,,,
12/22/2016 0:00,832.02,875,827.29,859.96,12070.35,,,,
12/23/2016 0:00,858.94,920,858.93,914,16526.63,,,,
12/24/2016 0:00,914.48,918.5,878.89,892.61,6026.45,,,,
12/25/2016 0:00,892.61,894.97,859,890.67,4658.24,,,,
12/26/2016 0:00,890.65,905.18,888,897.1,3467.55,,,,
12/27/2016 0:00,897.82,936.42,891,930.34,7225.77,,,,
12/28/2016 0:00,930.34,976.48,929.49,976.47,12285.11,,,,
12/29/2016 0:00,976.48,980.74,950,969.58,7858.46,,,,
12/30/2016 0:00,969.99,970,931,959.54,10755.04,,,,
12/31/2016 0:00,959.54,966.37,944.11,966.3,4162.92,,,,
1/1/2017 0:00,966.34,1005,960.53,997.75,6850.59,,,,
1/2/2017 0:00,997.75,1032,990.01,1012.54,8167.38,,,,
1/3/2017 0:00,1011.44,1039,999.99,1035.24,9089.66,,,,
1/4/2017 0:00,1035.51,1139.89,1028.56,1114.92,21562.46,,,,
1/5/2017 0:00,1114.38,1136.72,885.41,1004.74,36018.86,,,,
1/6/2017 0:00,1004.73,1026.99,871,893.89,27916.7,,,,
1/7/2017 0:00,894.02,907.05,812.28,906.2,20401.11,,,,
1/8/2017 0:00,906.2,941.81,881.3,909.75,8937.49,,,,
1/9/2017 0:00,909.8,912.87,875,896.23,8716.18,,,,
1/10/2017 0:00,896.09,912.47,889.41,905.05,8535.52,,,,
1/11/2017 0:00,905.24,918.4,755,778.62,35893.77,,,,
1/12/2017 0:00,778.7,832.99,751.34,807.47,17400.14,,,,
1/13/2017 0:00,807.51,831.4,775,825.86,11409.52,,,,
1/14/2017 0:00,825.98,837.76,810,818.27,6614.72,,,,
1/15/2017 0:00,819.52,823.45,808,821.86,4231.46,,,,
1/16/2017 0:00,821.86,835,818.09,831.81,6166.04,,,,
1/17/2017 0:00,831.76,908.5,827,905.99,12264.17,,,,
1/18/2017 0:00,905.95,915.99,851.74,887.7,11181.9,,,,
1/19/2017 0:00,887.69,910,878.89,901.01,11094.6,,,,
1/20/2017 0:00,902.23,902.43,880,895.8,6618.63,,,,
1/21/2017 0:00,895.81,928,895,921.98,5865.63,,,,
1/22/2017 0:00,921.98,937.74,886.76,923.76,7166.67,,,,
1/23/2017 0:00,923.75,927.57,913.21,913.52,3514.74,,,,
1/24/2017 0:00,913.15,923,881.48,885.47,9405.05,,,,
1/25/2017 0:00,885.47,904.01,884.5,893.43,5291.55,,,,
1/26/2017 0:00,893.25,919.49,892.86,914.83,5164.9,,,,
1/27/2017 0:00,914.95,924.88,908.01,918.02,4830.54,,,,
1/28/2017 0:00,918.02,920.99,913.08,918.6,1175.86,,,,
1/29/2017 0:00,918.6,919.99,910.45,912.01,1349.01,,,,
1/30/2017 0:00,913.12,923,910,919.99,3121.19,,,,
1/31/2017 0:00,919.99,970,917.5,963.99,9507.1,,,,
2/1/2017 0:00,963.99,986.96,962,983.67,6954.4,,,,
2/2/2017 0:00,983.79,1011.65,973.12,1009.17,8269.68,,,,
2/3/2017 0:00,1009.15,1022.64,987.01,1016.99,10928.02,,,,
2/4/2017 0:00,1015.06,1044.23,1004,1033.18,5752.29,,,,
2/5/2017 0:00,1033.72,1034.6,1004.7,1011.07,4348.17,,,,
2/6/2017 0:00,1010.03,1031.94,1005.1,1023.99,5080.85,,,,
2/7/2017 0:00,1024,1056.25,1021.3,1052.48,5372.13,,,,
2/8/2017 0:00,1052.48,1070,1025,1050.4,9633.26,,,,
2/9/2017 0:00,1051.73,1074.69,913.73,986,25150.07,,,,
2/10/2017 0:00,985.71,1010.68,950,996.08,10731.29,,,,
2/11/2017 0:00,995.49,1020,987.62,1012.4,4472.51,,,,
2/12/2017 0:00,1011.01,1011.97,991.98,1000.73,2684,,,,
2/13/2017 0:00,1000.73,1007.89,975.1,1000.79,4547.26,,,,
2/14/2017 0:00,1000.74,1019,987.97,1008.88,6761.11,,,,
2/15/2017 0:00,1008.88,1013.8,1000.97,1011.53,3095.66,,,,
2/16/2017 0:00,1011.53,1043.21,1010.75,1032.7,5996.1,,,,
2/17/2017 0:00,1032.91,1064.99,1031.98,1055.46,6085.02,,,,
2/18/2017 0:00,1055.75,1068.99,1046.14,1056.4,4474.95,,,,
2/19/2017 0:00,1056.4,1061.9,1039.07,1051.8,2270.85,,,,
